,Zone,Recipy_Name,Main_Ingredients,Ingredients,Recipy_Link
0,east,"Cuisines, Celebrations and Communalism",[],[],http://www.sailusfood.com/2008/10/08/cuisines-celebrations-and-communalism/
1,east,Phirni Recipe,"['rice', ' milk']","['Basmati rice - 1/3 cup (minus 1 tbsp of rice), soaked for 20 mts in water, drained and ground to a fine paste adding 1/2 cup milk\r', 'Full cream milk - 4 cups\r', 'Sugar - 1/4 cup + 2 tbsps\r', 'Green cardamom powder - 1/2 tsp\r', 'Pistachios - fistful, blanched, peeled and sliced\r', 'Rose petals - few (optional)\r', 'Saffron - 8-9 strands (optional) soak in 2 tbsps of milk']",http://www.sailusfood.com/2014/03/20/phirni-recipe-easy-sweet-indian/
2,east,Savory Muffins,"['flour', ' corn']","['Plain flour - 1 cup (maida/all purpose flour)\r', 'Baking powder - 1 1/2 tsps\r', 'Salt - 1/2 tsp\r', 'Green chili paste - 1 tsp\r', 'Coriander leaves - 2 tbsps finely chopped\r', 'Fresh corn - 1/2 cup (boiled)\r', 'Green peas - fistful (boiled)\r', 'Mozzarella cheese - 1/3, grated\r', 'Cheddar cheese - 1/3 cup, grated OR grate 2 Amul cheese cubes\r', 'Milk - 1/2 cup\r', 'Olive oil - 1/4 cup\r', 'Butter - 2 tbsps, melted\r', 'Eggs - 2, lightly beaten']",http://www.sailusfood.com/2014/07/22/savory-muffins-breakfast-recipe-kids/
3,east,Rasam,['tamarind'],[],http://www.sailusfood.com/2009/11/03/rasam-spiced-tamarind-soup/
4,east,Chole Masala Puri - White Chick Peas Curry with Fried Indian Bread,"['channa', ' chickpeas']",[],http://www.sailusfood.com/2005/12/18/chole-masala-with-puri-white-chick-peas-masala-curry-with-fried-indian-bread/
5,east,Indian Food Trail ~ Sindhi Cuisine,"['besan', ' potato']","['Gramflour - 2 tbsps\r', 'Mustard seeds - 1/2 tsp\r', 'Fenugreek seeds - 1/4 tsp\r', 'Cumin seeds - 1 tsp\r', 'Curry leaves (curry pata) - 1 sprig\r', 'Green chillies - 2-3\r', 'Ginger (as per taste)\r', 'Tomatoes - 3\r', 'Tamarind paste - 1 tbsp\r', 'Red chilly powder - 1/2 tsp\r', 'Turmeric powder - 1/4 tsp\r', 'Salt to taste\r', '2 tbsp. oil - 2 tbsps\r', 'Vegetables:']",http://www.sailusfood.com/2013/04/23/indian-food-sindhi-cuisine-recipes/
6,east,Paneer Tawa Masala,['paneer'],"['Paneer - 1/4 kg, cubed, place in warm water for 10 mts and drain\r', 'Curd - 1 tbsp (yogurt) optional\r', 'Cumin seeds - 1/2 tsp\r', 'Carom seeds - 1/2 tsp (vaamu/ajwain)\r', 'Kasoori methi - 1 1/2 tsps, crushed\r', 'Onion - 1, large, finely chopped\r', 'Ginger - 1/2"", finely minced\r', 'Green chili paste - 1 tsp (grind 2 green chilis to a paste)\r', 'Turmeric powder - 1/4 tsp\r', 'Red chili powder - 1 tsp\r', 'Coriander powder - 1 tsp\r', 'Garam masala powder - pinch\r', 'Tomato puree - 1/2 cup\r', 'Fresh cream - 1 tbsp\r', 'Lemon juice - 2 tsps\r', 'Salt to taste\r', 'Coriander leaves for garnish\r', 'Oil - 2 1/2 tbsps']",http://www.sailusfood.com/2013/09/02/paneer-tawa-masala-recipe/
7,east,Falooda recipe,"['milk', ' falooda sev', ' rose syrup']","['Milk - 2 cups, full fat\r', 'Jelly - 1/2 cup, cubed (raspberry or strawberry)\r', 'Rose syrup - 5-6 tbsps (or rooh afsa)\r', 'Falooda seeds - 1 tsp (sabja/basil seeds) soak in 1/3 cup water for 20-30 mts\r', 'Falooda sev - 1/2 cup \r', 'Pistachios - 5, sliced\r', 'ALmonds - 4, sliced\r', 'Vanilla ice cream - 4 scoops\r', 'Cherries - 2, for garnish (optional)']",http://www.sailusfood.com/2015/05/26/falooda-recipe/
8,east,Mango sandesh recipe,"['chenna', ' mango puree']","['To make chenna or slightly moist paneer:\r', 'Milk - 1 1/2 liters\r', 'Curd - 3/4 cup, beaten till smooth\r', 'For mango sandesh:\r', 'Powdered sugar - 1/3 cup\r', 'Cardamom powder - 1/2 tsp\r', 'Mango puree - 1 1/3 cups, freshly squeezed mango pulp blended till smooth\r', 'Pistachios or almonds - finely chopped for garnish']",http://www.sailusfood.com/2016/06/06/mango-sandesh-recipe/
9,east,Sabudana vada recipe,"['sago', ' potato']","['Sago - 1 1/2 cups (sabudana/saggubiyyam)\r', 'Potatoes - 2, medium sized, washed, boiled and mashed\r', 'Peanuts - 3/4 cup, roasted, peeled and coarsely ground\r', 'Sugar - 3/4 tsp (optional)\r', 'Green chilis - 3, finely chopped\r', 'Fresh coriander leaves - 3 tbsps, finely chopped\r', 'Arrowroot powder - 1 tbsp (optional)\r', 'Lemon juice - 1/2 tbsp\r', 'Salt to taste\r', 'Oil to deep fry']",http://www.sailusfood.com/2015/02/17/sabudana-vada-recipe-sabudana-recipes/
